B_cell__CD19-positive,CD16-negative__CD56-bright_natural_killer_cell,CD16-positive__CD56-dim_natural_killer_cell,T_cell/B_cell_doublet,T_follicular_helper_cell,alveolar_macrophage,central_memory_CD4-positive__alpha-beta_T_cell,central_memory_CD8-positive__alpha-beta_T_cell,classical_monocyte,cycling_T_or_natural_killer_cell,cycling_cell,dendritic_cell,effector_memory_CD4-positive__alpha-beta_T_cell,effector_memory_CD8-positive__alpha-beta_T_cell,erythroid_lineage_cell,gamma-delta_T_cell,germinal_center_B_cell,group_3_innate_lymphoid_cell,gut_tissue-resident__CD8-positive__memory_T_cell,macrophage,mast_cell,mature_alpha-beta_T_cell,megakaryocyte,memory_B_cell,mononuclear_phagocyte/B_cell_doublet,mononuclear_phagocyte/T_cell_doublet,mucosal_invariant_T_cell,naive_B_cell,non-classical_monocyte,plasma_cell,plasmablast,plasmacytoid_dendritic_cell,precursor_B_cell,pro-B_cell,progenitor_cell,regulatory_T_cell,tissue-resident_effector_memory_CD8-positive_T_cell,tissue-resident_memory_T-helper_1/17_cell,tissue-resident_memory_gamma-delta_T_cell
LAT2,RHOC,BIN2,ST6GAL1,H3-3B,CYP27A1,RPS19,RPL18A,VSIR,H4C3,PTTG1,GNG5,RPS15,MYL12B,PKLR,WIPF1,COTL1,KRT86,ALOX5AP,SDCBP,SOCS1,SPOCK2,ACTB,BLK,EEF2,LCP1,ZFP36L2,IRF8,ASAH1,PDK1,SPATS2,CLIC3,ATP6V1G1,ISG20,ELANE,HLA-E,MYL12A,HSP90AA1,TNFRSF18
RPL23A,ID2,PLAC8,P2RX5,DNAJA1,HEXB,RPSA,EEF1D,ZEB2,TK1,NUCKS1,CFL1,RPS3A,PAXX,SNRPD1,LITAF,SWAP70,IL23R,PNRC1,PLIN2,LMO4,CELF2,SNCA,RPS11,SPIB,S100A10,MYL12A,FAU,LILRA5,TRAM1,CRELD2,RNASET2,DTX1,TRABD,RPL27A,LCP2,HLA-B,SAMSN1,RUNX3
HERPUD1,ADGRE5,APMAP,CD19,EEF1A1,CTSC,EEF1B2,EEF1G,CFD,ENO1,PSAP,MYL6,RPL26,CLEC2B,SLIRP,CREM,CD79A,TMEM123,CAMK4,MAFB,ZFP36,TMC8,DMTN,HLA-DMA,RCSD1,OAZ1,NFKBIA,RALGPS2,CEBPB,RAB30,GMPPB,PPM1K,ITM2C,DCK,TKT,RPL13,LINC00869,EIF1,CLDND1
RPL13A,IRF1,ZAP70,IL32,PPP1R2,C5AR1,CCR7,RPL23A,VIM,RALY,GRN,HLA-DPA1,ZFP36L2,ANXA1,FN3K,SLA2,ERH,PPP1R15A,CKLF,S100A8,MAOB,NKTR,MPIG6B,BLNK,HLA-DRA,GSTP1,NA,TXNIP,GNAI2,TXNDC15,H1-5,LGMN,CCNI,BACH2,HSP90B1,CYTIP,PARP8,CD6,DNAJA1
EZR,ITGB2,C12orf75,MZB1,LAT,SPI1,RPS18,EEF1B2,SLC11A1,SMC2,BIRC5,HLA-DQB1,RPL37,RNF213,SNRPG,HSPA8,BCAS4,DDX5,LINC00869,VAMP8,TIMP1,MTATP6P1,PKM,RPS5,APOE,FYB1,CD99,RPS8,TSPO,CHPF,PCLAF,LILRA4,SSBP2,TP53INP1,RPL36,ICOS,ARHGDIB,S100A10,CYTIP
FCRL2,H3-3B,GNPTAB,KMT2E,C12orf57,ASAH1,IFITM1,RPL4,CD68,PTTG1,VAMP8,IFI30,RPL18,ZAP70,PAICS,KLRC3,BORCS8-MEF2B,MAP3K8,HSPH1,RNF130,SYTL3,ANKRD44,CLEC1B,FCMR,SYNGR2,MAFB,COX3,LIMD2,S100A8,TNFRSF17,RPN2,CST3,TFDP2,SH3TC1,MS4A3,IFITM1,SAMD3,AHNAK,CCND2
RPS7,CCL3,CD300A,TSPYL2,CD3G,LGALS1,RACK1,RPL26,CD36,CALM3,SMC4,PLEK,ARHGAP15,PRKCH,HNRNPAB,TUBA4A,EIF5A,PRMT9,PTPRC,CTSS,CLIC1,IKZF1,H2AC6,RPS29,TNFRSF13C,C5AR1,HLA-B,P2RX5,TMSB10,TPD52,SELENOS,CNPY3,BTF3,GNG7,CST7,RACK1,CBLB,PTGER4,ABI3
RPS18,LAT2,PLAAT4,IGLL5,RPL24,FCGR3A,SELL,RPS16,TNFRSF1B,NUDT1,FCER1G,NPC2,RPS7,CD247,NCL,HSPA5,HLA-DPA1,MPG,HSPA1A,DAB2,PTGS1,RALGAPA1,SEPTIN5,LY86,REL,CTSB,HLA-B,BTG1,EMP3,IGHG3,TMEM258,PARK7,NA,EEF2,TIMM13,DUSP1,TUBA4A,FOSB,SH2D2A
CD82,NA,CCND3,CD3E,RPL22,MCEMP1,EEF1G,RPL39,MYL6,CHCHD2,ATP6V0B,CTSZ,RPL4,TLE5,SERBP1,SH2D1A,SPIB,TNFSF11,CST7,LGALS3,CLIC1,KLF6,GSTO1,RPS14,HERPUD1,CTSB,PLAAT4,ADAM28,ATP6V0C,SEC14L1,GGH,TGFBI,KHDRBS1,EIF3L,MIF,RPL11,EIF1,CITED2,CLEC2B
HLA-DQB1,PFN1,S100A4,HLA-DPA1,TOMM7,SERF2,RPL7A,CCR7,ANXA5,SUB1,RAB31,CD86,RPL5,CD8B,MPC2,HLA-C,SLC25A3,GATA3,FOS,PLAUR,ZEB2,CCNH,RUFY1,RPS16,C1QC,HCK,IFITM2,RPL5,MYL6,CKAP4,PIM2,RPS6KA4,HBA2,GLRX,SNRPD2,SELL,LIME1,CD44,IKZF3
